ID;SABOR;VALOR;ESTADO;TIPO;DATA;FORMA DE PAGAMENTO
1370;frango;11;Mato Grosso do Sul;assada;20/06/2022;PIX
1371;carne com cream cheese;21;Ceará;assada;04/10/2023;DINHEIRO
1372;carne com queijo;17;Rio Grande do Sul;frita;07/07/2021;DINHEIRO
1373;calabresa com cream cheese;22;Alagoas;assada;31/08/2021;DINHEIRO
1374;carne com queijo;17;Minas Gerais;assada;05/09/2018;DÉBITO
1375;calabresa;9;Bahia;assada;16/10/2020;CRÉDITO
1376;calabresa;9;Alagoas;frita;04/02/2021;DÉBITO
1377;frango com cream cheese;20;Mato Grosso do Sul;frita;30/03/2018;CRÉDITO
1378;frango com queijo;16;Santa Catarina;frita;28/08/2024;PIX
1379;frango;11;Mato Grosso do Sul;frita;14/01/2023;DÉBITO
1380;calabresa;9;Alagoas;frita;18/03/2024;DINHEIRO
1381;calabresa com cream cheese;22;Maranhão;assada;26/06/2019;PIX
1382;calabresa;9;Alagoas;assada;21/08/2023;DÉBITO
1383;calabresa com queijo;15;Rio Grande do Sul;assada;23/12/2021;CRÉDITO
1384;carne;12;Maranhão;frita;19/06/2018;PIX
1385;calabresa com cream cheese;22;Rio de Janeiro;frita;19/10/2019;DÉBITO
1386;frango com queijo;16;Rio de Janeiro;frita;20/05/2021;DINHEIRO
1387;carne;12;Minas Gerais;frita;29/04/2019;PIX
1388;calabresa;9;São Paulo;frita;13/09/2020;PIX
1389;carne com queijo;17;Maranhão;assada;21/06/2019;DINHEIRO
1390;frango com cream cheese;20;Santa Catarina;assada;12/04/2024;PIX
1391;carne com cream cheese;21;Maranhão;frita;14/06/2024;PIX
1392;frango com queijo;16;Mato Grosso do Sul;assada;30/11/2019;CRÉDITO
1393;pizza;10;Rio Grande do Sul;assada;21/09/2021;DINHEIRO
1394;carne com queijo;17;Maranhão;frita;17/06/2020;DÉBITO
1395;frango com queijo;16;Santa Catarina;frita;24/05/2023;DINHEIRO
1396;frango com cream cheese;20;Rio de Janeiro;frita;28/09/2019;CRÉDITO
1397;carne com cream cheese;21;Mato Grosso do Sul;assada;19/07/2018;DÉBITO
1398;carne com queijo;17;São Paulo;frita;24/11/2019;DÉBITO
1399;carne com cream cheese;21;Bahia;assada;05/07/2023;DINHEIRO
1400;carne com queijo;17;Ceará;assada;09/09/2022;PIX
1401;pizza;10;São Paulo;frita;02/01/2019;CRÉDITO
1402;frango com queijo;16;Mato Grosso do Sul;frita;27/09/2024;DÉBITO
1403;carne com queijo;17;Mato Grosso do Sul;frita;18/12/2023;CRÉDITO
1404;carne com cream cheese;21;Santa Catarina;frita;12/02/2018;PIX
1405;frango com queijo;16;Mato Grosso do Sul;frita;02/02/2024;PIX
1406;frango;11;São Paulo;frita;24/10/2018;DINHEIRO
1407;frango com cream cheese;20;Maranhão;frita;22/04/2023;PIX
1408;frango;11;Maranhão;frita;22/12/2021;PIX
1409;pizza;10;Rio Grande do Sul;assada;12/05/2021;PIX
1410;calabresa com queijo;15;Rio Grande do Sul;assada;31/03/2018;CRÉDITO
1411;calabresa;9;Alagoas;frita;28/05/2020;DINHEIRO
1412;calabresa;9;Minas Gerais;assada;14/10/2022;PIX
1413;frango com cream cheese;20;Mato Grosso do Sul;assada;31/12/2024;CRÉDITO
1414;carne;12;Mato Grosso do Sul;frita;20/05/2021;DINHEIRO
1415;pizza;10;Maranhão;frita;07/10/2018;PIX
1416;frango;11;Alagoas;assada;20/05/2022;PIX
1417;frango;11;Santa Catarina;frita;07/04/2022;PIX
1418;carne com cream cheese;21;Mato Grosso do Sul;assada;01/01/2019;PIX
1419;calabresa;9;Bahia;frita;04/08/2023;CRÉDITO
1420;calabresa com cream cheese;22;Bahia;frita;27/02/2021;CRÉDITO
1421;frango;11;Maranhão;assada;27/07/2024;PIX
1422;calabresa;9;Minas Gerais;frita;15/05/2023;DÉBITO
1423;calabresa com queijo;15;Rio Grande do Sul;assada;28/10/2019;PIX
1424;carne com cream cheese;21;Alagoas;assada;08/08/2019;DINHEIRO
1425;carne;12;Mato Grosso do Sul;frita;19/06/2020;DINHEIRO
1426;frango com cream cheese;20;São Paulo;frita;14/10/2022;PIX
1427;calabresa;9;Rio de Janeiro;assada;09/04/2023;PIX
1428;calabresa com cream cheese;22;Rio de Janeiro;assada;26/03/2018;CRÉDITO
1429;pizza;10;Alagoas;assada;01/09/2022;DINHEIRO
1430;carne;12;Rio Grande do Sul;assada;13/11/2023;PIX
1431;frango com queijo;16;Bahia;frita;15/12/2023;DINHEIRO
1432;calabresa;9;Minas Gerais;frita;17/01/2018;DINHEIRO
1433;carne com cream cheese;21;Minas Gerais;frita;09/03/2022;DINHEIRO
1434;carne com cream cheese;21;Ceará;assada;15/04/2020;PIX
1435;frango com cream cheese;20;São Paulo;frita;10/08/2024;DÉBITO
1436;carne com queijo;17;Ceará;frita;24/11/2019;CRÉDITO
1437;calabresa;9;São Paulo;assada;15/10/2019;PIX
1438;carne com cream cheese;21;Maranhão;frita;04/12/2021;PIX
1439;carne com cream cheese;21;Minas Gerais;frita;29/11/2021;DÉBITO
1440;carne com cream cheese;21;Mato Grosso do Sul;frita;30/12/2022;DÉBITO
1441;frango com cream cheese;20;Alagoas;assada;12/06/2018;DINHEIRO
1442;calabresa com cream cheese;22;Maranhão;frita;20/05/2024;PIX
1443;frango com queijo;16;Rio Grande do Sul;assada;09/08/2022;PIX
1444;calabresa com queijo;15;Bahia;frita;16/03/2019;DINHEIRO
1445;calabresa com queijo;15;Alagoas;frita;23/11/2022;PIX
1446;calabresa com cream cheese;22;Santa Catarina;assada;20/12/2018;DÉBITO
1447;frango;11;Santa Catarina;assada;09/11/2022;PIX
1448;calabresa;9;Alagoas;frita;25/06/2018;DINHEIRO
1449;carne;12;Rio Grande do Sul;frita;22/09/2023;DÉBITO
1450;carne;12;Minas Gerais;assada;14/11/2021;DÉBITO
1451;carne com queijo;17;Rio Grande do Sul;assada;17/02/2021;DINHEIRO
1452;frango com cream cheese;20;São Paulo;frita;27/02/2023;DÉBITO
1453;carne com queijo;17;Mato Grosso do Sul;assada;02/07/2019;DINHEIRO
1454;calabresa;9;São Paulo;frita;15/08/2018;PIX
1455;carne com cream cheese;21;Rio de Janeiro;assada;26/07/2018;DÉBITO
1456;carne;12;Minas Gerais;frita;18/02/2023;DINHEIRO
1457;calabresa;9;Minas Gerais;assada;25/02/2024;PIX
1458;carne com queijo;17;São Paulo;frita;20/04/2020;DINHEIRO
1459;carne;12;Bahia;frita;31/07/2023;DINHEIRO
1460;pizza;10;Mato Grosso do Sul;assada;09/08/2022;DÉBITO
1461;calabresa com queijo;15;São Paulo;frita;08/05/2023;CRÉDITO
1462;pizza;10;Ceará;frita;18/01/2020;CRÉDITO
1463;pizza;10;Maranhão;frita;17/05/2019;DINHEIRO
1464;calabresa com cream cheese;22;Maranhão;assada;13/04/2024;DINHEIRO
1465;calabresa;9;Bahia;frita;08/11/2024;PIX
1466;carne;12;Maranhão;frita;18/04/2020;PIX
1467;calabresa com cream cheese;22;Mato Grosso do Sul;assada;02/03/2023;PIX
1468;carne;12;Alagoas;frita;29/03/2018;CRÉDITO
1469;calabresa com cream cheese;22;Rio Grande do Sul;assada;10/10/2023;DÉBITO
1470;calabresa;9;Bahia;frita;05/06/2018;DÉBITO
1471;carne com cream cheese;21;Rio de Janeiro;frita;31/03/2023;DINHEIRO
1472;calabresa com queijo;15;Maranhão;frita;07/08/2024;DINHEIRO
1473;carne com cream cheese;21;Minas Gerais;assada;03/02/2024;PIX
1474;frango com queijo;16;Rio de Janeiro;frita;20/04/2019;CRÉDITO
1475;frango com queijo;16;Ceará;assada;27/10/2020;CRÉDITO
1476;frango com queijo;16;Ceará;assada;12/05/2019;PIX
1477;calabresa;9;Alagoas;frita;22/07/2021;CRÉDITO
1478;calabresa;9;Minas Gerais;frita;14/10/2021;DINHEIRO
1479;calabresa com cream cheese;22;Rio Grande do Sul;frita;08/09/2018;DÉBITO
1480;calabresa;9;Rio de Janeiro;assada;09/02/2024;CRÉDITO
1481;calabresa;9;Bahia;frita;28/11/2022;DÉBITO
1482;calabresa;9;São Paulo;frita;08/09/2018;PIX
1483;frango com cream cheese;20;Alagoas;assada;15/05/2018;PIX
1484;carne com queijo;17;Alagoas;assada;18/01/2018;DINHEIRO
1485;carne;12;São Paulo;frita;09/01/2020;DÉBITO
1486;calabresa;9;São Paulo;assada;22/08/2019;CRÉDITO
1487;frango com cream cheese;20;Minas Gerais;frita;08/08/2023;CRÉDITO
1488;frango com queijo;16;Mato Grosso do Sul;assada;10/03/2020;PIX
1489;frango;11;São Paulo;frita;24/05/2019;DINHEIRO
1490;calabresa;9;Alagoas;assada;28/03/2024;DINHEIRO
1491;carne com cream cheese;21;Minas Gerais;assada;20/10/2024;PIX
1492;calabresa;9;Rio Grande do Sul;frita;20/10/2021;DÉBITO
1493;frango com cream cheese;20;Santa Catarina;assada;22/04/2021;DÉBITO
1494;frango;11;São Paulo;assada;08/02/2019;DINHEIRO
1495;carne com queijo;17;Mato Grosso do Sul;frita;05/03/2021;PIX
1496;calabresa;9;Rio Grande do Sul;frita;16/05/2022;DÉBITO
1497;frango com cream cheese;20;Alagoas;frita;01/11/2023;PIX
1498;frango;11;Mato Grosso do Sul;assada;11/09/2020;DÉBITO
1499;carne com cream cheese;21;Bahia;frita;03/06/2019;CRÉDITO
1500;calabresa com cream cheese;22;Rio de Janeiro;frita;29/01/2021;CRÉDITO
1501;carne;12;Rio Grande do Sul;assada;16/04/2023;DÉBITO
1502;carne;12;Alagoas;assada;26/07/2024;CRÉDITO
1503;frango com queijo;16;Rio Grande do Sul;frita;17/03/2022;CRÉDITO
1504;calabresa com queijo;15;Minas Gerais;assada;21/03/2019;DINHEIRO
1505;carne com queijo;17;Mato Grosso do Sul;frita;23/02/2022;PIX
1506;frango;11;Mato Grosso do Sul;frita;22/12/2022;DINHEIRO
1507;frango com cream cheese;20;Maranhão;assada;03/09/2021;PIX
1508;carne;12;Mato Grosso do Sul;assada;05/04/2018;DINHEIRO
1509;carne com queijo;17;Mato Grosso do Sul;frita;27/04/2023;DÉBITO
1510;frango com cream cheese;20;Minas Gerais;frita;17/11/2019;DÉBITO
1511;carne;12;Alagoas;assada;09/03/2021;DINHEIRO
1512;calabresa com queijo;15;Rio de Janeiro;assada;21/08/2022;PIX
1513;calabresa com queijo;15;Alagoas;frita;13/10/2024;DÉBITO
1514;pizza;10;Bahia;assada;30/03/2021;DINHEIRO
1515;calabresa com queijo;15;Rio de Janeiro;frita;24/10/2018;DINHEIRO
1516;pizza;10;Maranhão;assada;26/04/2020;CRÉDITO
1517;calabresa com queijo;15;Rio Grande do Sul;assada;24/07/2019;PIX
1518;pizza;10;Minas Gerais;frita;19/10/2019;PIX
1519;carne com queijo;17;Alagoas;assada;23/02/2019;DÉBITO
1520;pizza;10;Bahia;frita;25/05/2024;DÉBITO
1521;frango com cream cheese;20;Rio Grande do Sul;assada;13/04/2018;DÉBITO
1522;calabresa;9;Rio Grande do Sul;assada;05/02/2022;DINHEIRO
1523;pizza;10;Mato Grosso do Sul;assada;03/10/2019;PIX
1524;carne com cream cheese;21;Minas Gerais;frita;10/10/2021;CRÉDITO
1525;carne;12;Minas Gerais;assada;26/10/2023;DINHEIRO
1526;carne com cream cheese;21;Bahia;frita;16/03/2021;CRÉDITO
1527;calabresa com queijo;15;Maranhão;assada;09/04/2021;CRÉDITO
1528;pizza;10;Bahia;assada;12/05/2023;PIX
1529;carne;12;Minas Gerais;frita;28/05/2023;CRÉDITO
1530;calabresa com queijo;15;Rio Grande do Sul;frita;09/12/2021;PIX
1531;carne com queijo;17;Ceará;frita;09/06/2020;DINHEIRO
1532;calabresa;9;Mato Grosso do Sul;assada;21/09/2020;CRÉDITO
1533;calabresa;9;Maranhão;frita;20/05/2021;CRÉDITO
1534;carne com queijo;17;Minas Gerais;assada;23/08/2022;CRÉDITO
1535;frango;11;São Paulo;frita;16/02/2023;DÉBITO
1536;frango com queijo;16;Ceará;assada;15/10/2018;DINHEIRO
1537;frango com cream cheese;20;Rio de Janeiro;frita;29/09/2020;DINHEIRO
1538;frango com queijo;16;Santa Catarina;assada;05/12/2021;PIX
1539;calabresa com queijo;15;Alagoas;assada;26/11/2020;DINHEIRO
1540;calabresa com queijo;15;Maranhão;frita;25/12/2024;PIX
1541;carne;12;Minas Gerais;frita;20/04/2024;PIX
1542;frango com queijo;16;Rio de Janeiro;assada;10/02/2020;DINHEIRO
1543;frango;11;Alagoas;frita;21/09/2018;DÉBITO
1544;frango com cream cheese;20;Alagoas;frita;09/11/2023;DINHEIRO
1545;frango com cream cheese;20;São Paulo;frita;28/08/2022;PIX
1546;calabresa;9;São Paulo;frita;13/04/2024;DINHEIRO
1547;pizza;10;São Paulo;frita;27/09/2023;PIX
1548;calabresa com cream cheese;22;Bahia;assada;07/01/2024;CRÉDITO
1549;pizza;10;Minas Gerais;frita;16/03/2021;CRÉDITO
1550;carne com cream cheese;21;Rio de Janeiro;frita;24/10/2020;DÉBITO
1551;calabresa com cream cheese;22;Minas Gerais;assada;08/02/2022;PIX
1552;frango com queijo;16;São Paulo;frita;26/06/2019;DÉBITO
1553;calabresa com cream cheese;22;Maranhão;assada;08/05/2019;DINHEIRO
1554;carne;12;Mato Grosso do Sul;frita;01/08/2022;DÉBITO
1555;calabresa;9;Ceará;frita;27/11/2021;PIX
1556;calabresa com queijo;15;Rio Grande do Sul;assada;23/07/2018;DINHEIRO
1557;pizza;10;Santa Catarina;frita;21/02/2023;DINHEIRO
1558;carne com cream cheese;21;Mato Grosso do Sul;assada;11/05/2020;DÉBITO
1559;pizza;10;Alagoas;assada;07/01/2020;DÉBITO
1560;frango com queijo;16;Minas Gerais;frita;07/07/2022;CRÉDITO
1561;calabresa com cream cheese;22;Rio Grande do Sul;frita;07/07/2023;PIX
1562;pizza;10;São Paulo;frita;18/12/2021;DÉBITO
1563;carne com cream cheese;21;Maranhão;frita;06/09/2018;PIX
1564;pizza;10;Alagoas;assada;30/12/2021;CRÉDITO
1565;frango com cream cheese;20;São Paulo;frita;28/01/2019;DÉBITO
1566;pizza;10;Ceará;assada;08/01/2021;DÉBITO
1567;frango;11;Maranhão;assada;28/06/2019;DÉBITO
1568;calabresa com queijo;15;Santa Catarina;assada;05/11/2021;DÉBITO
1569;calabresa com cream cheese;22;Minas Gerais;frita;12/12/2024;CRÉDITO
1570;frango com queijo;16;São Paulo;frita;02/04/2023;DINHEIRO
1571;calabresa com queijo;15;Bahia;assada;03/09/2020;DÉBITO
1572;calabresa com cream cheese;22;Ceará;frita;18/09/2023;DINHEIRO
1573;carne com queijo;17;Rio de Janeiro;assada;16/09/2024;DINHEIRO
1574;frango com cream cheese;20;Santa Catarina;assada;29/10/2023;CRÉDITO
1575;frango;11;Santa Catarina;assada;20/04/2020;PIX
1576;calabresa com queijo;15;São Paulo;frita;14/08/2022;DINHEIRO
1577;frango com cream cheese;20;Rio de Janeiro;frita;11/06/2022;DINHEIRO
1578;calabresa;9;Bahia;assada;09/05/2020;PIX
1579;carne com cream cheese;21;Alagoas;frita;07/08/2021;CRÉDITO
1580;frango com cream cheese;20;Alagoas;assada;13/07/2018;CRÉDITO
1581;carne com cream cheese;21;Bahia;assada;08/08/2021;PIX
1582;calabresa com queijo;15;Mato Grosso do Sul;assada;11/08/2024;DINHEIRO
1583;frango;11;Santa Catarina;frita;21/02/2022;DÉBITO
1584;frango com queijo;16;Maranhão;frita;15/03/2020;PIX
1585;frango;11;Ceará;frita;03/10/2024;CRÉDITO
1586;pizza;10;Rio de Janeiro;frita;07/03/2023;PIX
1587;calabresa com cream cheese;22;Rio Grande do Sul;assada;25/05/2021;DÉBITO
1588;frango com queijo;16;Alagoas;assada;21/05/2022;PIX
1589;carne com cream cheese;21;Rio de Janeiro;assada;20/06/2021;CRÉDITO
1590;pizza;10;Rio Grande do Sul;assada;30/11/2020;DINHEIRO
1591;carne;12;Rio de Janeiro;assada;12/08/2021;DÉBITO
1592;calabresa com cream cheese;22;Rio Grande do Sul;frita;27/12/2024;DINHEIRO
1593;carne;12;Ceará;assada;11/11/2022;CRÉDITO
1594;pizza;10;Bahia;assada;06/06/2021;DÉBITO
1595;frango;11;Rio de Janeiro;assada;02/04/2024;CRÉDITO
1596;frango;11;Bahia;assada;13/06/2019;DINHEIRO
1597;calabresa com queijo;15;Alagoas;frita;18/08/2023;CRÉDITO
1598;calabresa;9;Mato Grosso do Sul;frita;19/01/2021;PIX
1599;calabresa;9;Alagoas;assada;05/07/2021;DÉBITO
1600;pizza;10;Alagoas;frita;29/11/2022;DÉBITO
1601;carne com cream cheese;21;Alagoas;assada;06/07/2024;CRÉDITO
1602;carne com queijo;17;Santa Catarina;assada;19/02/2024;DÉBITO
1603;calabresa com cream cheese;22;Mato Grosso do Sul;frita;26/09/2019;DINHEIRO
1604;carne com queijo;17;Minas Gerais;assada;16/05/2021;PIX
1605;carne com cream cheese;21;Maranhão;assada;12/04/2024;CRÉDITO
1606;calabresa com cream cheese;22;Bahia;frita;05/06/2021;PIX
1607;calabresa;9;Mato Grosso do Sul;assada;21/07/2018;CRÉDITO
1608;carne com cream cheese;21;Alagoas;frita;16/05/2020;CRÉDITO
1609;carne com cream cheese;21;Rio Grande do Sul;assada;07/09/2022;PIX
1610;pizza;10;Ceará;frita;31/05/2023;DINHEIRO
1611;frango com queijo;16;São Paulo;assada;03/06/2019;DÉBITO
1612;pizza;10;Mato Grosso do Sul;frita;30/05/2023;DINHEIRO
1613;calabresa com cream cheese;22;Bahia;assada;03/08/2019;CRÉDITO
1614;carne com cream cheese;21;Minas Gerais;frita;09/02/2020;DÉBITO
1615;carne;12;Mato Grosso do Sul;frita;23/02/2021;PIX
1616;pizza;10;Rio Grande do Sul;frita;18/06/2021;DINHEIRO
1617;calabresa;9;Santa Catarina;assada;30/11/2022;DÉBITO
1618;frango com queijo;16;Maranhão;assada;21/11/2023;DINHEIRO
1619;frango;11;Maranhão;frita;06/06/2018;DÉBITO
1620;carne com cream cheese;21;Minas Gerais;assada;06/07/2022;DINHEIRO
1621;frango com queijo;16;Mato Grosso do Sul;frita;24/11/2019;DÉBITO
1622;calabresa com cream cheese;22;Maranhão;assada;14/06/2023;DÉBITO
1623;frango com queijo;16;Santa Catarina;frita;06/06/2022;DINHEIRO
1624;frango com cream cheese;20;Mato Grosso do Sul;frita;29/11/2023;DÉBITO
1625;frango com cream cheese;20;Rio de Janeiro;assada;24/07/2021;PIX
1626;calabresa com queijo;15;Alagoas;assada;30/06/2022;PIX
1627;frango com cream cheese;20;Alagoas;assada;13/04/2021;DINHEIRO
1628;frango;11;Maranhão;assada;23/10/2023;PIX
1629;carne;12;São Paulo;assada;11/12/2020;CRÉDITO
1630;frango com cream cheese;20;Rio Grande do Sul;assada;09/02/2022;CRÉDITO
1631;carne com cream cheese;21;Santa Catarina;assada;28/01/2018;CRÉDITO
1632;carne com cream cheese;21;Minas Gerais;frita;29/08/2021;DÉBITO
1633;frango com cream cheese;20;São Paulo;frita;12/03/2018;PIX
1634;frango com queijo;16;Maranhão;assada;25/10/2020;DINHEIRO
1635;carne com queijo;17;São Paulo;assada;13/12/2018;CRÉDITO
1636;frango;11;Santa Catarina;assada;03/03/2020;DÉBITO
1637;pizza;10;Rio Grande do Sul;assada;31/01/2018;DINHEIRO
1638;calabresa com queijo;15;Maranhão;frita;21/04/2018;DINHEIRO
1639;carne com cream cheese;21;Santa Catarina;assada;24/11/2024;CRÉDITO
1640;calabresa com queijo;15;Mato Grosso do Sul;frita;31/07/2023;DINHEIRO
1641;calabresa;9;Ceará;frita;10/01/2019;DINHEIRO
1642;frango com queijo;16;Alagoas;assada;28/11/2020;CRÉDITO
1643;calabresa com queijo;15;Bahia;frita;29/08/2019;CRÉDITO
1644;carne;12;Rio Grande do Sul;frita;10/11/2021;DÉBITO
1645;frango;11;Rio de Janeiro;assada;16/03/2024;DINHEIRO
1646;calabresa com queijo;15;Bahia;assada;20/12/2021;DÉBITO
1647;carne com queijo;17;Santa Catarina;frita;02/06/2018;DÉBITO
1648;calabresa;9;Ceará;frita;23/06/2018;DÉBITO
1649;carne com queijo;17;São Paulo;frita;07/04/2019;CRÉDITO
1650;calabresa com cream cheese;22;Mato Grosso do Sul;frita;15/09/2021;CRÉDITO
1651;carne;12;Rio Grande do Sul;frita;22/03/2020;PIX
1652;calabresa com queijo;15;Santa Catarina;assada;27/09/2024;DÉBITO
1653;calabresa com queijo;15;Alagoas;frita;15/07/2024;PIX
1654;frango com queijo;16;Rio de Janeiro;frita;08/12/2019;PIX
1655;carne com queijo;17;Mato Grosso do Sul;frita;04/02/2019;DINHEIRO
1656;calabresa com queijo;15;Rio de Janeiro;assada;20/01/2023;DINHEIRO
1657;calabresa com cream cheese;22;Bahia;assada;10/04/2023;PIX
1658;carne;12;Rio Grande do Sul;assada;20/02/2023;CRÉDITO
1659;calabresa com cream cheese;22;Maranhão;frita;07/05/2019;DÉBITO
1660;frango com queijo;16;Rio de Janeiro;frita;22/04/2019;DINHEIRO
1661;carne com queijo;17;Santa Catarina;frita;09/01/2020;DINHEIRO
1662;calabresa com queijo;15;Alagoas;assada;03/02/2021;PIX
1663;frango com queijo;16;Santa Catarina;assada;12/09/2021;PIX
1664;calabresa com cream cheese;22;Ceará;frita;20/05/2020;PIX
1665;calabresa com queijo;15;Rio Grande do Sul;assada;25/09/2020;CRÉDITO
1666;calabresa;9;São Paulo;frita;12/03/2020;DINHEIRO
1667;frango com cream cheese;20;Minas Gerais;frita;28/03/2023;PIX
1668;carne com cream cheese;21;São Paulo;assada;06/01/2023;DÉBITO
1669;pizza;10;Mato Grosso do Sul;frita;17/04/2022;PIX
1670;pizza;10;Mato Grosso do Sul;assada;16/12/2018;PIX
1671;frango;11;Ceará;frita;11/08/2019;DINHEIRO
1672;pizza;10;Bahia;frita;15/03/2024;PIX
1673;frango com queijo;16;Minas Gerais;assada;07/07/2019;CRÉDITO
1674;calabresa;9;Bahia;frita;18/03/2024;DINHEIRO
1675;calabresa com queijo;15;Maranhão;assada;21/11/2024;PIX
1676;pizza;10;Rio Grande do Sul;assada;18/07/2019;PIX
1677;pizza;10;Rio Grande do Sul;assada;03/09/2023;CRÉDITO
1678;carne com queijo;17;Mato Grosso do Sul;frita;22/11/2019;CRÉDITO
1679;calabresa;9;Ceará;frita;05/05/2018;DÉBITO
1680;carne com cream cheese;21;Alagoas;frita;24/01/2020;CRÉDITO
1681;frango;11;Minas Gerais;assada;01/12/2021;DINHEIRO
1682;calabresa com queijo;15;Rio Grande do Sul;frita;13/09/2019;PIX
1683;carne;12;Rio Grande do Sul;frita;22/01/2023;DINHEIRO
1684;calabresa com queijo;15;Mato Grosso do Sul;assada;05/10/2022;CRÉDITO
1685;pizza;10;São Paulo;assada;13/04/2023;CRÉDITO
1686;calabresa com cream cheese;22;Bahia;assada;20/07/2019;CRÉDITO
1687;carne;12;Alagoas;assada;02/08/2019;PIX
1688;carne com cream cheese;21;Bahia;frita;05/04/2022;CRÉDITO
1689;calabresa com queijo;15;Rio de Janeiro;frita;28/10/2024;DÉBITO
1690;pizza;10;Maranhão;frita;23/09/2022;CRÉDITO
1691;carne com queijo;17;Rio Grande do Sul;assada;18/07/2019;CRÉDITO
1692;carne;12;São Paulo;frita;29/11/2022;CRÉDITO
1693;carne com cream cheese;21;Maranhão;assada;12/03/2023;CRÉDITO
1694;frango com cream cheese;20;Ceará;frita;08/05/2023;CRÉDITO
1695;frango com cream cheese;20;Mato Grosso do Sul;frita;16/04/2018;PIX
1696;pizza;10;Rio de Janeiro;assada;23/10/2018;CRÉDITO
1697;carne com cream cheese;21;Maranhão;assada;04/12/2019;PIX
1698;carne;12;Maranhão;assada;28/09/2020;PIX
1699;pizza;10;Minas Gerais;assada;13/03/2023;CRÉDITO
1700;frango com queijo;16;Bahia;frita;10/03/2022;DÉBITO
1701;calabresa com cream cheese;22;Maranhão;assada;02/06/2022;PIX
1702;frango com queijo;16;Ceará;frita;01/06/2023;CRÉDITO
1703;calabresa;9;São Paulo;assada;06/01/2019;DÉBITO
1704;carne com queijo;17;Bahia;assada;10/01/2020;CRÉDITO
1705;calabresa com queijo;15;Santa Catarina;frita;11/04/2024;PIX
1706;pizza;10;São Paulo;assada;06/08/2021;DÉBITO
1707;frango com cream cheese;20;Mato Grosso do Sul;frita;07/08/2022;DÉBITO
1708;pizza;10;Maranhão;assada;30/07/2021;CRÉDITO
1709;carne com cream cheese;21;Minas Gerais;assada;22/07/2019;PIX
1710;calabresa;9;Santa Catarina;frita;05/12/2020;DINHEIRO
1711;carne;12;Maranhão;frita;01/11/2019;DÉBITO
1712;calabresa com queijo;15;Minas Gerais;frita;29/04/2023;DINHEIRO
1713;calabresa com cream cheese;22;Alagoas;frita;29/02/2024;DÉBITO
1714;pizza;10;Mato Grosso do Sul;frita;19/06/2023;DINHEIRO
1715;frango com queijo;16;Minas Gerais;assada;27/10/2020;CRÉDITO
1716;frango;11;Rio Grande do Sul;frita;20/04/2018;DÉBITO
1717;calabresa com queijo;15;Alagoas;frita;20/09/2021;CRÉDITO
1718;calabresa com cream cheese;22;Santa Catarina;frita;03/03/2018;CRÉDITO
1719;carne com queijo;17;São Paulo;assada;11/07/2023;DÉBITO
1720;calabresa com cream cheese;22;Santa Catarina;frita;27/11/2023;CRÉDITO
1721;frango com cream cheese;20;Santa Catarina;frita;19/06/2019;DINHEIRO
1722;frango com queijo;16;Rio de Janeiro;assada;07/08/2020;DÉBITO
1723;calabresa com queijo;15;Bahia;frita;27/04/2023;DINHEIRO
1724;frango com cream cheese;20;Ceará;frita;09/10/2022;DÉBITO
1725;carne;12;Bahia;frita;27/10/2018;DÉBITO
1726;calabresa com cream cheese;22;Rio Grande do Sul;assada;07/08/2020;CRÉDITO
1727;frango com cream cheese;20;Bahia;assada;23/06/2021;PIX
1728;carne com queijo;17;Maranhão;assada;28/04/2022;PIX
1729;calabresa com queijo;15;Rio de Janeiro;assada;06/07/2022;CRÉDITO
1730;pizza;10;Rio Grande do Sul;assada;27/04/2024;DÉBITO
1731;frango;11;Bahia;assada;01/04/2024;DINHEIRO
1732;frango com queijo;16;Alagoas;assada;29/10/2022;DÉBITO
1733;carne;12;Ceará;frita;03/04/2022;PIX
1734;calabresa;9;Bahia;frita;24/11/2018;DINHEIRO
1735;carne;12;Rio Grande do Sul;assada;02/12/2019;DINHEIRO
1736;calabresa com queijo;15;Ceará;assada;11/09/2020;CRÉDITO
1737;frango com queijo;16;Bahia;frita;24/02/2020;CRÉDITO
1738;calabresa com cream cheese;22;Maranhão;assada;20/03/2023;CRÉDITO
1739;calabresa com cream cheese;22;Santa Catarina;assada;26/09/2023;CRÉDITO
1740;calabresa com cream cheese;22;Ceará;frita;18/01/2022;DINHEIRO
1741;frango com queijo;16;Mato Grosso do Sul;frita;16/01/2022;CRÉDITO
1742;frango com cream cheese;20;Bahia;frita;31/10/2021;PIX
1743;carne com queijo;17;Alagoas;assada;13/09/2024;DÉBITO
1744;carne com queijo;17;Santa Catarina;assada;22/11/2024;DINHEIRO
1745;carne com cream cheese;21;Mato Grosso do Sul;frita;08/07/2018;PIX
1746;calabresa;9;Santa Catarina;frita;16/06/2022;PIX
1747;calabresa com cream cheese;22;São Paulo;frita;21/11/2024;DINHEIRO
1748;calabresa com queijo;15;Maranhão;assada;30/03/2020;CRÉDITO
1749;calabresa com cream cheese;22;Bahia;frita;11/11/2022;DÉBITO
1750;calabresa com cream cheese;22;Rio de Janeiro;frita;05/08/2019;DÉBITO
1751;carne com cream cheese;21;Rio de Janeiro;assada;22/10/2020;DÉBITO
1752;calabresa com queijo;15;Maranhão;assada;05/11/2018;DÉBITO
1753;pizza;10;Maranhão;frita;06/02/2021;PIX
